id,virus,host,interaction,strain,localization,tissue_expression
31090,ORF7b,ARF3,Interolog,B.1.427,None,Brain - Frontal Cortex (BA9)
31569,ORF8,HLA-G,Interolog,B.1.427,None,Pituitary
31587,ORF8,ARF3,Interolog,B.1.427,None,Brain - Frontal Cortex (BA9)
31888,S,ARF3,Interolog,B.1.427,None,Brain - Frontal Cortex (BA9)
32087,E,HLA-G,Interolog,B.1.427,None,Pituitary
32393,M,MARK3,Interolog,B.1.427,None,Brain - Cerebellar Hemisphere
33764,ORF3a,MARK3,Interolog,B.1.427,None,Brain - Cerebellar Hemisphere
34317,ORF7b,MARK3,Interolog,B.1.427,None,Brain - Cerebellar Hemisphere
35128,M,HLA-G,Interolog,B.1.427,None,Pituitary
36041,nsp14,MARK3,Interolog,B.1.427,None,Brain - Cerebellar Hemisphere
36138,N,HLA-G,Interolog,B.1.427,None,Pituitary
36158,nsp12,MARK3,Interolog,B.1.427,None,Brain - Cerebellar Hemisphere
36821,N,HLA-G,Domain,B.1.427,None,Pituitary
37566,S,HLA-G,Domain,B.1.427,None,Pituitary
37837,nsp12,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
37999,S,ACE2,Interolog,B.1.525,None,Testis
38006,ORF9b,MARK3,Interolog,B.1.525,None,Brain - Cerebellar Hemisphere
38033,S,MARK3,Interolog,B.1.525,None,Brain - Cerebellar Hemisphere
38782,nsp12,HLA-G,Interolog,B.1.525,None,Pituitary
39054,ORF3a,HLA-G,Interolog,B.1.525,None,Pituitary
39307,ORF7b,HLA-G,Interolog,B.1.525,None,Pituitary
39779,S,HLA-G,Interolog,B.1.525,None,Pituitary
39983,E,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
40573,M,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
42320,ORF3a,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
42679,ORF6,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
43118,ORF7a,HLA-G,Interolog,B.1.525,None,Pituitary
43138,ORF7a,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
43748,ORF7b,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
44227,ORF8,HLA-G,Interolog,B.1.525,None,Pituitary
44245,ORF8,ARF3,Interolog,B.1.525,None,Brain - Frontal Cortex (BA9)
